# ---
# experiment_id: ZIF-67 Synthesis_Aditya_and_Hardik_20250725_221848
# experiment_name: ZIF-67 Synthesis
# operator_name: Aditya_and_Hardik
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of a single vial of MOF - First run
# created_at: 2025-07-25T22:18:48.445755
# instrument_serial: 2
# measurement_timestamp: 2025-07-25T22:33:38.832838
# well_id: A1
# slot: Well A1 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250725_222000
# white_id: white_20250725_222004
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,15 min,30 min,45 min,60 min,75 min,90 min,105 min,120 min,135 min,150 min,165 min,180 min
255.8,0.0626371401607367,0.1280345287164293,0.2751742948140206,0.547246313615419,1.1639696966591748,2.09015982863893,9.0,9.0,9.0,9.0,9.0,9.0,9.0
256.4,-0.0,-0.0,0.1214824114505204,0.3431192209814266,0.7134085619585409,0.9196980668767198,1.02569633503577,1.5895667823360369,9.0,9.0,0.9587924755795704,9.0,1.0069004541019395
256.9,-0.0,-0.0,0.0528677064024334,0.1972940698471394,0.3796135278012961,0.4486094939110758,0.4756982044755208,0.5575851650124719,0.6963838651752293,0.5938193559795956,0.4602534693703516,0.6355699110948494,0.4734678400963703
257.4,0.010640239910653,0.0620606500041952,0.1669317880061971,0.3308995321473831,0.5530185196963122,0.6440824062242779,0.6806684863793497,0.7948313558496526,1.0151107059765243,0.8537640827571313,0.6568108645616395,0.9150380569166552,0.6791443220062917
258.0,-0.0,-0.0,0.0490834374761503,0.1949447401862112,0.378718305775134,0.4486094939110758,0.4756982044755208,0.5575851657312267,0.6963838651752294,0.5967643613345104,0.460253469513572,0.6420808888311764,0.4768177100160844
258.5,-0.0,-0.0,0.1010375674983759,0.2919624251527643,0.5727662741722344,0.696240056703473,0.7526542732558253,0.947461871571283,1.5385484699531062,1.0715698014566648,0.7212357147303288,1.2138517750417113,0.7596615474250925
259.0,-0.0,-0.0,-0.0,0.0984291870914852,0.2564104908962681,0.3116528740872477,0.3358135316962642,0.4005200502607839,0.5008712972265742,0.4311873089107579,0.322649600657162,0.4587051669089951,0.3367017810592137
259.6,-0.0,-0.0,0.0031503332952822,0.1246808705035934,0.2626185081079052,0.3078340674148023,0.3293226685780016,0.3838211049258504,0.4620564532964367,0.4084396871660002,0.3191173763896216,0.4293069893240527,0.33079377063581067
260.1,-0.0,-0.0,0.0519240746527733,0.2501039014657242,0.5339187026293057,0.6507443237485518,0.7233179786315157,0.9301691930568736,1.5397604236976052,1.0529454033646533,0.6864779420808812,1.198051946382823,0.7257182514658554
260.6,-0.0,-0.0,-0.0,-0.0,0.0879367078813427,0.1244486981108045,0.1460771528733633,0.1912762131804417,0.2555725400764222,0.2112390315466956,0.1360173351904383,0.230910346904515,0.1473462153855118
